,Unnamed: 0,WhiteElo,BlackElo,WhiteName,BlackName,Winner,Termination,Site,Day,Month,Year,InitialTime,Increment,TimeControl,Opening,ECO,Number_of_Moves
3096,3096,1638,1441,Krieg,Mariss,Black,Normal,https://lichess.org/qs0lzahd,1,1,2013,60,1,Bullet,Indian Game,A45,71
3097,3097,1790,1969,Masterstheven,Atomicangel,Black,Normal,https://lichess.org/uuu6rdlb,1,1,2013,180,0,Blitz,Queen's Gambit Refused: Chigorin Defense #2,D07,21
3098,3098,1743,1170,Ashwa,akb,White,Time forfeit,https://lichess.org/i6pnqzim,1,1,2013,120,0,Bullet,Queen's Gambit Declined: Queen's Knight Variation,D31,15
3099,3099,1489,1441,Raton00,Nathan,White,Normal,https://lichess.org/75j1revk,1,1,2013,420,4,Rapid,Dutch Defense: Normal Variation,A84,22
3100,3100,2112,1740,Ghost_Lombardi,Chess_Agent,White,Normal,https://lichess.org/ukl2ra6t,1,1,2013,180,0,Blitz,King's Indian Attack,A07,14
3101,3101,1729,2116,Chess_Agent,Ghost_Lombardi,Black,Normal,https://lichess.org/eo556f7z,1,1,2013,180,0,Blitz,French Defense: Knight Variation,C00,11
3102,3102,1637,1525,blackhorse,snob,Black,Normal,https://lichess.org/vs8ne4y8,1,1,2013,900,0,Rapid,English Opening: The Whale,C20,30
3103,3103,1671,1879,mufasa,Vigorito,Black,Normal,https://lichess.org/bpqfg7xq,1,1,2013,900,4,Rapid,Queen's Pawn Game: Colle System,D04,57
3104,3104,1454,1628,Mariss,Krieg,White,Normal,https://lichess.org/8fn548ue,1,1,2013,60,1,Bullet,Queen's Gambit Accepted: Rosenthal Variation,D21,62
3105,3105,1298,1308,alex296,Maroz,White,Normal,https://lichess.org/dw5bja1p,1,1,2013,300,2,Blitz,Polish Opening,A00,5
3106,3106,1309,1539,alex296,Yarilo,Black,Normal,https://lichess.org/cagjbpsl,1,1,2013,300,2,Blitz,Polish Opening,A00,16
3107,3107,1271,1475,3_1415maldaumen,Trebizonde,Black,Normal,https://lichess.org/8y0t23gy,1,1,2013,1620,8,Classical,Philidor Defense: Exchange Variation #2,C41,9
3108,3108,1747,1646,qetuo,Beibus,White,Normal,https://lichess.org/4zol9bm1,1,1,2013,180,3,Blitz,Polish Defense,A40,27
3109,3109,1322,1500,dcarballor,Inscrutable,Draw,Normal,https://lichess.org/i35xd3hn,1,1,2013,720,8,Rapid,"King's Pawn Game: Wayward Queen Attack, Kiddie Countergambit",C20,86
3110,3110,1812,1556,Ashwa,Chess_Agent,Black,Normal,https://lichess.org/9ouyw96r,1,1,2013,120,0,Bullet,Queen's Gambit Accepted,D20,28
3111,3111,1601,1338,ChikiPuki,Abd0,White,Time forfeit,https://lichess.org/acfh9xgm,1,1,2013,60,0,Bullet,Van't Kruijs Opening,A00,48
3112,3112,1579,1871,daco,pikaron,Black,Normal,https://lichess.org/f6mx3ywu,1,1,2013,360,0,Blitz,French Defense: Advance Variation #4,C02,34
3113,3113,1507,1247,Trebizonde,3_1415maldaumen,Black,Normal,https://lichess.org/lqdgzzkt,1,1,2013,1620,8,Classical,Four Knights Game,C46,38
3114,3114,1357,1282,JoseChez,engineabuser,White,Time forfeit,https://lichess.org/gyep7lla,1,1,2013,120,11,Rapid,Queen's Pawn,A40,46
3115,3115,1380,1492,GEZ,vytaskas,White,Normal,https://lichess.org/dq6iyak6,1,1,2013,1200,0,Rapid,Bishop's Opening,C23,63
3116,3116,1328,1477,Abd0,Kyklades,Black,Time forfeit,https://lichess.org/2m3y51v4,1,1,2013,120,0,Bullet,King's Knight Opening,C40,35
3117,3117,1440,1633,Maroz,caucaia,Black,Normal,https://lichess.org/kiyxvha5,1,1,2013,1200,1,Rapid,Italian Game: Schilling-Kostic Gambit,C50,16
3118,3118,1938,1884,GennadyN,kent777,White,Time forfeit,https://lichess.org/d7sk7sg1,1,1,2013,180,0,Blitz,Four Knights Game: Scotch Variation,C47,42
3119,3119,1612,1277,ChikiPuki,Batalha,White,Time forfeit,https://lichess.org/levop3co,1,1,2013,60,0,Bullet,French Defense #2,C00,19
3120,3120,1435,1426,onetoomany,akb,White,Normal,https://lichess.org/8d8d3r78,1,1,2013,480,0,Rapid,Four Knights Game: Double Spanish,C49,29
3121,3121,1615,1575,TransCanadaHighway,kukukuruku,White,Normal,https://lichess.org/kwomh674,1,1,2013,600,8,Rapid,French Defense: Knight Variation,C00,37
3122,3122,1607,1333,ChikiPuki,Abd0,White,Normal,https://lichess.org/rkqq7bls,1,1,2013,60,0,Bullet,Van't Kruijs Opening,A00,34
3123,3123,1748,1194,Ashwa,ice-blue,White,Normal,https://lichess.org/9uxo2qjr,1,1,2013,120,0,Bullet,Horwitz Defense,A40,30
3124,3124,1712,1647,Yarilo,caucaia,White,Normal,https://lichess.org/w02wx3gd,1,1,2013,1200,1,Rapid,Russian Game: Urusov Gambit,C42,49
3125,3125,1229,1304,Maroz,alex296,Black,Normal,https://lichess.org/1g22m79m,1,1,2013,300,2,Blitz,"Italian Game: Giuoco Pianissimo, Normal",C50,12
3126,3126,1901,1400,qetuo,__Viper4,White,Normal,https://lichess.org/ymkcxr05,1,1,2013,900,21,Classical,Queen's Pawn Game: Zukertort Variation,D02,35
3127,3127,1918,1975,fisting_grandmas,Atomicangel,White,Time forfeit,https://lichess.org/3bpr7ws8,1,1,2013,300,0,Blitz,"Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation",B00,48
3128,3128,1616,1273,ChikiPuki,Batalha,White,Time forfeit,https://lichess.org/3wjoejch,1,1,2013,60,0,Bullet,Center Game: Normal Variation,C22,21
3129,3129,1539,1674,Cynosure,jmcd,White,Normal,https://lichess.org/11yuycik,1,1,2013,720,0,Rapid,Ruy Lopez: Steinitz Defense,C62,25
3130,3130,1726,1075,baobabbos,Cesc,White,Time forfeit,https://lichess.org/9hzjuwe7,1,1,2013,900,8,Rapid,Pirc Defense #4,B07,12
